Last 4 Card Digits,Order Date,Menu Item,Qty,Total,Tip
2315,2024-01-02 20:58:00,"Taco Flight, Lamb Lolu, 805, MODELO",4.0,62.239999999999995,5.0
2316,2023-12-30 12:03:00,"HH Mimosa Flight, Red Wine Flight, White Wine Flight, Fry Flight, Ahi Tuna Taco Flight, Skewer Flight, Caprese Salad, Caprese Salad, Frozen Margarita Flight, Skewer Flight",10.0,209.65,10.0
2321,2024-02-14 19:11:00,"Mule Flight, Mojito Flight, Mac & Cheese Flight, Taco Flight, Flights Burger",5.0,111.41,23.99
2322,2024-01-12 19:20:00,"Wingman, Coke, Fry Flight, Wingman",4.0,53.56,7.63
2325,2023-11-18 14:00:00,"Bluemoon, 805, BBQ Pulled Pork Sandwich, Ahi Tuna Taco Flight",4.0,56.76,10.22
2325,2023-12-24 15:28:00,"Flights 3 Egg Omelet, Side Pancake",2.0,21.82,27.0
2327,2023-12-24 15:00:00,"Old Fashioned Flight, Margarita Rock Flight, Lamb lolli, Caesar Salad, Chicken Wing Flight",9.0,219.62,3.28
2335,2024-01-31 18:55:00,Chicken Wing Flight,1.0,12.55,5.76
2341,2024-02-14 19:32:00,"Mojito Flight, Martini Flight, Coke, Roasted Lemon Chicken, Fettuccine Alfredo, Caprese Salad, Pan Seared Salmon Fillet, MODELO",8.0,167.14,26.9
2350,2024-01-18 20:07:00,"Martini Flight, Mule Flight, Diet Coke, Side Fries, Wedge Salad, Empanada Flight, Ahi Tuna Taco Flight, Flights Burger, Mac & Cheese Flight, Skewer Flight, Chicken Wing Flight, Beignet Flight, Cheesecake Flight",13.0,231.43,15.37
2355,2023-11-29 16:36:00,"Margarita Rock Flight, Ahi Tuna Taco Flight, Pan Seared Salmon Fillet",3.0,76.45,9.43
2355,2023-12-21 18:41:00,"Elysian Space Dust, HH Martini Flight, HH Mojito Flight, HH Bloody Mary Flight, Skewer Flight, Empanada Flight, Fry Flight, Slider Flight, Morena Mia, Sierra Hazy",10.0,160.57999999999998,13.37
2355,2024-01-12 17:42:00,"HH Mojito Flight, HH Old Fashioned Flight, Flights Burger, Slider Flight, Beignet Flight",5.0,85.17,9.43
2355,2024-02-15 17:38:00,"Lemonade, Salad Flight, Fry Flight, Skewer Flight, Lemonade",5.0,70.92999999999999,12.77
2360,2024-01-27 11:18:00,"HH Mimosa Flight, Toast Flight, Cast Iron Hash Flight",3.0,51.29,6.87
2360,2024-02-03 12:01:00,"HH Mimosa Flight, Coffee Regular",3.0,37.2,7.86
2373,2023-11-22 19:51:00,"Mojito Flight, Martini Flight, Fry Flight, Taco Flight, Slider Flight, Mojito Flight, Martini Flight",7.0,164.99,30.0
2377,2024-01-28 18:05:00,"Sauvignon Blanc - Intrinsic - Glass, 805",2.0,21.869999999999997,32.0
2392,2024-02-27 19:17:00,"Mimosa Flight, Frozen Margarita Flight, Chicken Wing Flight, Frozen Margarita Flight",4.0,103.86,22.85
2403,2024-01-20 15:24:00,"Beer Flight, Taco Flight, Chicken Wing Flight, Sierra Hazy, Brownie Bomber",5.0,82.98,17.07
2406,2023-11-11 16:21:00,"Mac & Cheese Flight, Salad Flight, Empanada Flight",3.0,61.11,17.27
2416,2023-12-30 15:32:00,"HH Mimosa Flight, HH Mimosa Flight, Toast Flight, Taco Flight",4.0,67.7,0.0
2423,2024-01-11 19:48:00,"Smoked Show, Mocktini Flight",2.0,30.64,21.04
2427,2024-02-02 19:06:00,"12 Oz New York Steak, Martini Flight, Ahi Tuna Taco Flight",3.0,88.49,24.02
2432,2023-12-29 19:32:00,Roasted Lemon Chicken,1.0,0.0,23.61
2433,2023-12-10 13:11:00,"Hummus, Mojito Flight, Fry Flight, Mac & Cheese Flight, Slider Flight",6.0,126.62,5.0
2433,2024-02-16 18:19:00,"Pan Seared Salmon Fillet, 12 Oz New York Steak, Coke",3.0,77.56,5.0
2436,2023-12-03 13:05:00,"Elysian Space Dust, Elysian Space Dust, 805, Elysian Space Dust, 805, Fry Flight, Breakfast Burrito, MODELO, MODELO, MODELO, Elysian Space Dust, Elysian Space Dust, 805, Elysian Space Dust, 805, Fry Flight, Breakfast Burrito, MODELO, MODELO, MODELO",32.0,312.58,7.43
2436,2023-12-11 19:10:00,"Margarita Rock Flight, Old Fashioned Flight, Salad Flight, Mac & Cheese Flight",4.0,92.87,6.55
2440,2024-01-06 18:24:00,"Beer Flight, Mocktini Flight, Sprite, cheese flight, Around the World",5.0,244.97,0.0
2441,2023-12-23 19:40:00,"Ahi Tuna Taco Flight, Baby Back Ribs Flight, Side Fries, Smoked Show, Elysian Space Dust",5.0,74.27,15.0
2449,2023-12-31 16:08:00,"Maverick, I Heart Prosecco - Glass",2.0,26.25,3.0
2458,2023-12-16 12:32:00,"Breakfast Burrito, Mimosa, Mimosa",3.0,41.489999999999995,0.0
2458,2024-02-14 19:07:00,"Martini Flight, cheese flight, Salad Flight, Bird Dog, Fry Flight, Skewer Flight, Pan Seared Salmon Fillet",7.0,150.67,30.13
2459,2023-12-30 16:51:00,"Ghost Rider, Well Whiskey, BBQ Pulled Pork Sandwich, Fry Flight",4.0,66.61,11.55
2460,2024-01-20 16:21:00,"Mile High, Side Fries",2.0,21.89,3.94
2462,2024-01-21 18:44:00,"Slider Flight, MODELO",2.0,30.57,11.78
2469,2024-01-24 18:30:00,"Red Wine Flight, Slider Flight, Slider Flight, Mac & Cheese Flight, Fry Flight, Ahi Tuna Taco Flight, Sprite, Lemonade, Lemonade",9.0,141.94,19.66
2472,2024-01-07 14:53:00,6 Oz N.Y. Steak & Eggs,1.0,20.74,5.0
2475,2023-11-14 19:14:00,"Frozen Margarita Flight, Mule Flight",2.0,52.5,15.0
2483,2023-12-05 18:58:00,"Mile High, Ahi Tuna Taco Flight, Fry Flight, Old Fashioned Flight, Skewer Flight, Ghost Rider",6.0,119.06,23.81
2483,2023-12-05 20:01:00,"HH Tasting Wine Flight, 805, Elysian Space Dust, 805, Elysian Space Dust, Smoked Show, Guinness, Around the World, Blantons, Oban, 805, Elysian Space Dust, Around the World, 805, Elysian Space Dust, Old Fashioned Flight, Red Wine Flight, Elysian Space Dust, Mojito Flight, BBQ Pulled Pork Sandwich, Elysian Space Dust, 805, Elysian Space Dust, 805, Red Wine Flight, Guinness, Bluemoon, Elysian Space Dust, Cheesecake Flight, Sauvignon Blanc - Intrinsic - Glass, Sauvignon Blanc - Intrinsic - Glass, Cabernet - Sebastiani - Glass, Hibiki, Elysian Space Dust, 805, HH Tasting Wine Flight, 805, Elysian Space Dust, 805, Elysian Space Dust, Smoked Show, Guinness, Around the World, Blantons, Oban, 805, Elysian Space Dust, Around the World, 805, Elysian Space Dust, Old Fashioned Flight, Red Wine Flight, Elysian Space Dust, Mojito Flight, BBQ Pulled Pork Sandwich, Elysian Space Dust, 805, Elysian Space Dust, 805, Red Wine Flight, Guinness, Bluemoon, Elysian Space Dust, Cheesecake Flight, Sauvignon Blanc - Intrinsic - Glass, Sauvignon Blanc - Intrinsic - Glass, Cabernet - Sebastiani - Glass, Hibiki, Elysian Space Dust, 805",72.0,1688.46,23.81
2483,2024-02-13 16:39:00,"Lemon Drop, Hakushu, Hakushu, Casamigos Mezcal, Hakushu",6.0,86.39,20.0
2488,2023-12-31 17:14:00,"Chardonnay - Hess - Glass, Coke, Lemonade, Sprite, Slider Flight, Fry Flight, Mac & Cheese Flight, Caesar Salad, Roasted Lemon Chicken, Taco Flight",10.0,148.44,20.0
2489,2023-12-02 19:50:00,"Old Fashioned Flight, Martini Flight, Mac & Cheese Flight, Fry Flight, Frozen Margarita Flight, Margarita Rock Flight, Beef Slider, Beef Slider, Taco Flight, Coke, Ahi Tuna Taco Flight",11.0,209.78,25.97
2496,2023-11-16 18:07:00,"Fry Flight, HH Margarita Rock Flight, Slider Flight",3.0,56.769999999999996,11.79
2506,2024-01-10 19:23:00,"Martini Flight, Martini Flight, Slider Flight, Fry Flight, Mac & Cheese Flight",5.0,113.6,10.87
2513,2024-01-26 16:44:00,Morena Mia,2.0,10.93,10.0
2513,2024-01-26 18:22:00,"Lemonade, Ginger Beer, Hot Tea, Fry Flight, Hummus, Salad Flight",7.0,86.19999999999999,10.0
2515,2024-01-23 18:57:00,"Sprite, Iced Tea, Coke, Taco Flight, Chicken Wing Flight, Slider Flight, Fry Flight",7.0,98.24,25.54
2517,2023-11-24 19:45:00,"Ghost Rider, cheese flight, Pinot Noir - Josh - Glass, Ghost Rider, Pinot Noir - Josh - Glass",5.0,68.86,12.38
2517,2023-11-26 17:02:00,MODELO,1.0,8.75,17.25
2529,2023-12-08 19:00:00,"Old Fashioned Flight, Slider Flight, Fry Flight, Flights Burger, Ahi Tuna Taco Flight, Elysian Space Dust, Sauvignon Blanc - Intrinsic - Glass, MODELO",10.0,180.18,39.64
2533,2024-02-10 14:05:00,Fettuccine Alfredo,1.0,0.0,2.89
2538,2024-02-06 18:24:00,"HH BEER, Chicken Wing Flight, 1 Plain Meatball, HH BEER, HH BEER",5.0,42.58,5.31
2541,2023-12-09 13:09:00,"Classic Breakfast, Classic Breakfast, Classic Breakfast",3.0,0.0,10.58
2543,2023-11-13 18:25:00,"Hapas ipa, Hapas ipa, Beer",3.0,16.38,25.0
2543,2023-11-18 20:38:00,"Slider Flight, Taco Flight, Mac & Cheese Flight, Beer Flight",4.0,79.69,15.0
2543,2023-11-26 15:36:00,"Old Fashioned Flight, Tasting Wine Flight, Martini Flight, Ahi Tuna Taco Flight, Fry Flight, Sierra Hazy, MODELO",7.0,134.42,10.0
2552,2023-11-12 15:07:00,"Side French Toast, Side Egg, Side Bacon, All On ONE PLATE",4.0,0.0,4.72
2553,2024-02-03 14:12:00,"HH Bloody Mary Flight, Slider Flight, Chicken Wing Flight",4.0,79.75,16.0
2556,2024-01-14 19:08:00,Well Tequila,1.0,12.04,28.0
2559,2023-12-07 18:19:00,"Elysian Space Dust, Ginger Beer, Smoked Show, Ghost Rider, Old Fashioned Flight, Gin Flight, Strawberry Mojito ,VIRGIN, Baby Back Ribs Flight, Flights Burger, Chicken Wing Flight, Taco Flight, Taco Flight, Chicken Wing Flight, Fry Flight, Ahi Tuna Taco Flight, Taco Flight, Old Fashioned Flight, Old Fashioned Flight, Elysian Space Dust, Chicken Wing Flight, Empanada Flight, Chicken Wing Flight, Strawberry Mojito ,VIRGIN, Strawberry Mojito ,VIRGIN, Voodoo Ranger, 805, Taco Flight, Chicken Wing Flight, Taco Flight, Baby Back Ribs Flight, Chicken Wing Flight, Fry Flight, Bourbon Flight, Strawberry Mojito ,VIRGIN, Caprese Salad, Voodoo Ranger, Strawberry Mojito ,VIRGIN, Gin Flight, Margarita Rock Flight, Bourbon Flight, Ahi Tuna Taco Flight, Elysian Space Dust, Ginger Beer, Smoked Show, Ghost Rider, Old Fashioned Flight, Gin Flight, Strawberry Mojito ,VIRGIN, Baby Back Ribs Flight, Flights Burger, Chicken Wing Flight, Taco Flight, Taco Flight, Chicken Wing Flight, Fry Flight, Ahi Tuna Taco Flight, Taco Flight, Old Fashioned Flight, Old Fashioned Flight, Elysian Space Dust, Chicken Wing Flight, Empanada Flight, Chicken Wing Flight, Strawberry Mojito ,VIRGIN, Strawberry Mojito ,VIRGIN, Voodoo Ranger, 805, Taco Flight, Chicken Wing Flight, Taco Flight, Baby Back Ribs Flight, Chicken Wing Flight, Fry Flight, Bourbon Flight, Strawberry Mojito ,VIRGIN, Caprese Salad, Voodoo Ranger, Strawberry Mojito ,VIRGIN, Gin Flight, Margarita Rock Flight, Bourbon Flight, Ahi Tuna Taco Flight",82.0,1522.7,38.07
2560,2024-02-23 21:07:00,"Wedge Salad, Morena Mia",2.0,22.91,0.0
2561,2023-12-02 18:47:00,"Old Fashioned Flight, Mule Flight, Fry Flight, Mac & Cheese Flight, Roasted Lemon Chicken, Flights Burger, Baby Back Ribs Flight, Flights Burger",8.0,180.15,8.0
2561,2023-12-02 19:04:00,"Bacardi, Skewer Flight",2.0,37.12,8.0
2565,2023-12-15 17:32:00,"HH Margarita Rock Flight, HH Margarita Rock Flight",2.0,32.82,16.09
2567,2024-02-23 19:27:00,"HH Old Fashioned Flight, HH Mojito Flight, Fry Flight, Taco Flight, Empanada Flight, HH Frozen Margarita Flight, HH Margarita Rock Flight, Birthday Cheesecake, Margarita Rock Flight, Martini Flight",10.0,177.05,4.58
2568,2023-11-25 16:08:00,"Mac & Cheese Flight, Frozen Margarita Flight",2.0,46.989999999999995,4.53
2570,2023-11-11 12:08:00,"Cast Iron Hash Flight, Toast Flight, Frozen Margarita Flight",3.0,61.129999999999995,18.0
2571,2023-11-18 21:31:00,"Wingman, Wingman, Ice Man",3.0,45.96,7.7
2575,2023-12-23 15:31:00,"Pinot Noir - Josh - Glass, Skewer Flight, Old Fashioned Flight",3.0,61.18,15.0
2582,2024-02-08 18:47:00,"Mac & Cheese Flight, Taco Flight, Empanada Flight, BBQ Pulled Pork Sandwich, Arnold Palmer, Martini Flight",6.0,111.36999999999999,22.27
2583,2023-12-05 18:18:00,"Taco Flight, Elysian Space Dust, Fry Flight, Taco Flight, Elysian Space Dust, Fry Flight",5.0,75.3,14.96
2583,2023-12-05 19:05:00,"MODELO, MODELO, MODELO, Flights Burger, Skewer Flight, Ahi Tuna Taco Flight, Slider Flight, Fry Flight, MODELO, MODELO",10.0,149.56,14.96
2584,2024-02-13 17:42:00,"Voodoo Ranger, Voodoo Ranger, Voodoo Ranger, Chicken Wing Flight, 1 Plain Meatball, Diet Coke",6.0,46.96,1.5
2588,2023-12-01 16:32:00,"HH Mimosa Flight, HH Mimosa Flight, Caprese Salad, Ahi Tuna Taco Flight, Elysian Space Dust, Brownie Bomber",6.0,87.35,19.22
2588,2023-12-01 17:36:00,"Fry Flight, HH Mimosa Flight, HH Mimosa Flight, HH Mojito Flight, HH Mule Flight, Salad Flight, Mac & Cheese Flight, Tequila Flight, Ahi Tuna Taco Flight, Slider Flight, Ice Man",11.0,207.57,19.22
2588,2023-12-05 18:06:00,"HH Martini Flight, HH Old Fashioned Flight, Wedge Salad, Mac & Cheese Flight, HH Martini Flight, HH Old Fashioned Flight, Wedge Salad, Mac & Cheese Flight",8.0,135.44,4.86
2588,2023-12-05 18:18:00,"Cabernet - Josh Hearth - Glass, Soda Water, Flights Burger, Caprese Salad",4.0,48.55,4.86
2589,2024-01-19 20:07:00,"Mojito Flight, Martini Flight, Fry Flight, Skewer Flight, Ahi Tuna Taco Flight, Titos, Titos",7.0,145.31,15.99
2605,2024-01-05 17:07:00,"Margarita Rock Flight, Mac & Cheese Flight, Taco Flight",3.0,66.62,10.0
2608,2024-01-20 12:45:00,"Fry Flight, Chicken Wing Flight, Hazy, Hazy, Hazy, Hazy",6.0,43.65,20.0
2608,2024-02-03 13:33:00,"Fry Flight, Chicken Wing Flight, Mac & Cheese Flight, Margarita Rock Flight, Margarita Rock Flight",5.0,116.89,25.0
2616,2024-01-13 14:28:00,"Margarita Rock Flight, Martini Flight, Red Wine Flight, Mule Flight, Mocktini Flight, Fry Flight, HH Mimosa Flight, Mojito Flight, Ahi Tuna Taco Flight, Martini Flight, Margarita Rock Flight, Don Julio Blanco, Gin Flight, Salad Flight, Ahi Tuna Taco Flight, Lamb lolli, Frozen Margarita Flight, Frozen Margarita Flight, Old Fashioned Flight, Baby Back Ribs Flight, Taco Flight, Chicken Wing Flight, Ahi Tuna Taco Flight, Chicken Slider, Ahi Tuna Taco Flight, Slider Flight, Kids Lemonade, Chicken Wing Flight, Don Julio Blanco",33.0,680.75,15.0
2616,2024-02-03 15:31:00,"Hummus, Margarita, Mojito Flight, Pan Seared Salmon Fillet, Flights Burger",6.0,137.59,10.0
2617,2024-02-11 15:33:00,"MODELO, Martini Flight, Taco Flight, MODELO",5.0,72.13,13.0
2619,2024-01-05 19:18:00,"Fry Flight, Flights Burger, 12 Oz New York Steak, Roasted Lemon Chicken, Cosmopolitan, Coke",6.0,124.47999999999999,21.85
2623,2024-02-13 20:39:00,"Caesar Salad, Fry Flight, Fettuccine Alfredo, BBQ Pulled Pork Sandwich",4.0,80.72999999999999,12.25
2628,2023-12-18 17:39:00,"Old Fashioned Flight, Around the World, Beer Flight, Bird Dog, Around the World, Mocktini Flight, Gin Flight, Mac & Cheese Flight, Mimosa Flight, Bird Dog, Martini Flight, Chardonnay - Patland - Glass, Margarita Rock Flight, Old Fashioned Flight, Mule Flight, Martini Flight, Old Fashioned Flight, Red Wine Flight, I Heart Prosecco - Glass, Bird Dog, Ghost Rider, Pinot Noir - Josh - Glass, Cabernet - Sebastiani - Glass, Chardonnay - Patland - Glass, Old Fashioned Flight, Bird Dog, Sauvignon Blanc - Simi, Cheesecake Flight, Ahi Tuna Taco Flight, Empanada Flight, Fettuccine Alfredo, Martini Flight, Sauvignon Blanc - Simi, Margarita Rock Flight, Ghost Rider, Sauvignon Blanc - Simi, Cabernet - Sebastiani - Glass, Pinot Noir - Josh - Glass, Flights Burger",39.0,1086.8799999999999,5.04
2634,2023-11-26 14:42:00,"Gin Flight, HH Bloody Mary Flight",3.0,59.07,1.77
2640,2023-12-08 18:55:00,"Margarita Rock Flight, Mimosa Flight, Mac & Cheese Flight, Flights Burger, Fettuccine Alfredo, Flights Burger, Flights Burger, Mac & Cheese Flight",8.0,179.09,39.4
2641,2023-11-11 13:45:00,"Mojito Flight, Mojito Flight, HH Mimosa Flight, Beer Flight, Margarita Rock Flight, Flights Burger, Chicken Wing Flight, Flights 3 Egg Omelet, Frozen Margarita Flight, Flights Burger, Taco Flight, Fry Flight, Frozen Margarita Flight",13.0,280.77,4.32
2646,2023-11-05 13:33:00,Breakfast Burrito,1.0,0.0,0.0
2646,2023-11-09 20:29:00,"Beignet Flight, Cheesecake Flight",2.0,0.0,50.64
2646,2023-11-11 17:54:00,Caesar Salad,1.0,0.0,23.77
2646,2023-11-12 13:19:00,"HH Mimosa Flight, Fry Flight, Chicken Wing Flight, Slider Flight, HH Mimosa Flight",5.0,98.28999999999999,37.07
2646,2023-11-17 17:10:00,"Taco Flight, Ahi Tuna Taco Flight, Elysian Space Dust, Elysian Space Dust",4.0,50.18,53.23
2646,2023-11-18 13:32:00,"Flights 3 Egg Omelet, Skewer Flight, Flights Burger, Brownie Bomber, Flights Burger, Slider Flight, Brownie Bomber, Cheesecake Flight, Cheesecake Flight",9.0,148.27,0.0
2646,2023-11-24 16:36:00,"Bird Dog, Chardonnay - Patland - Glass, Fry Flight",5.0,78.68,75.28
2646,2023-11-25 17:40:00,"Fry Flight, Ice Man, Mojito Flight, Old Fashioned Flight, Bird Dog, Martini Flight, Margarita Rock Flight",7.0,154.18,0.0
2646,2023-11-26 13:07:00,"6 Oz N.Y. Steak & Eggs, Cast Iron Hash Flight, Toast Flight",3.0,55.62,0.0
2646,2023-11-30 19:29:00,"Skewer Flight, Coke, Cheesecake Flight",3.0,41.45,0.0
2646,2023-12-01 16:19:00,"Margarita, Fry Flight",2.0,34.95,0.0
2646,2023-12-01 16:23:00,"Empanada Flight, Caprese Salad, Empanada Flight, Flights Burger, Roasted Lemon Chicken, Flights Burger, Flights Burger, Caesar Salad, Brownie Bomber, Flights Burger, Fry Flight, Fry Flight, Fry Flight, Fry Flight, Slider Flight, Fry Flight",16.0,296.66999999999996,0.0
2646,2023-12-02 13:33:00,"Breakfast Burrito, Fry Flight, Slider Flight, Beignet Flight, Brownie Bomber, Empanada Flight, Empanada Flight, cheese flight, Taco Flight, Brownie Bomber, Mac & Cheese Flight, Empanada Flight, Fry Flight, Mac & Cheese Flight, Baby Back Ribs Flight, Sprite, Iced Tea",17.0,282.57,0.0
2646,2023-12-03 15:17:00,"Coke, Taco Flight, Slider Flight, Taco Flight, Ahi Tuna Taco Flight, HH Mimosa Flight",7.0,105.87,0.0
2646,2023-12-08 19:55:00,"Caprese Salad, Fry Flight, Mac & Cheese Flight, Mac & Cheese Flight, Flights Burger, Side Fries, Flights Burger, Baby Back Ribs Flight, Roasted Lemon Chicken, Slider Flight, Flights Burger, Empanada Flight, Mac & Cheese Flight, Slider Flight, Empanada Flight, Fry Flight, Wedge Salad",17.0,326.21999999999997,0.0
2646,2023-12-10 13:10:00,"MODELO, Flights Burger",3.0,45.82,0.0
2646,2023-12-22 18:36:00,"Grey Goose, Old Fashioned Flight, Red Wine Flight, Red Wine Flight, Fry Flight, Hummus, Grey Goose",7.0,145.38,0.0
2646,2024-01-13 13:19:00,"Diet Coke, Coke, Fettuccine Alfredo, Taco Flight, Slider Flight, Side Fries, Flights Burger, Breakfast Burrito, Soda Water",9.0,121.69999999999999,0.0
2646,2024-01-20 15:01:00,"Mojito Flight, Mojito Flight",2.0,52.5,0.0
2647,2024-01-25 19:48:00,"Wingman, Mojito, Fry Flight, Well Tequila, Margarita Rock Flight, Well Tequila, Well Tequila, Roasted Lemon Chicken, Well Tequila",12.0,198.99,0.0
2648,2024-02-08 17:44:00,"HH Mojito Flight, HH Mojito Flight, Ahi Tuna Taco Flight",3.0,52.45,18.0
2651,2023-12-16 19:33:00,"Sierra Hazy, Sierra Hazy, Hummus, Caesar Salad, Caesar Salad, Pan Seared Salmon Fillet, Skewer Flight, Fry Flight",8.0,134.2,15.0
2657,2024-02-11 19:21:00,Flights Burger,1.0,18.54,5.12
2658,2024-02-28 17:39:00,Flights Burger,1.0,18.54,7.47
2668,2023-12-15 18:03:00,"Elysian Space Dust, Elysian Space Dust, Elysian Space Dust, Meatballs, Elysian Space Dust, Elysian Space Dust, Elysian Space Dust, Meatballs",8.0,69.84,7.41
2669,2023-11-05 14:00:00,"Breakfast Burrito, Fry Flight, Fry Flight, Fry Flight, Mac & Cheese Flight, Chicken Wing Flight, Fry Flight",7.0,135.26,6.79
2672,2024-02-11 14:30:00,"HH Bloody Mary Flight, Jagger",3.0,42.66,9.24
2674,2023-11-07 14:06:00,"Taco Flight, Well Vodka, Well Vodka",4.0,55.739999999999995,0.0
2677,2024-02-09 17:19:00,"HH Tasting Wine Flight, HH Mimosa Flight, Caesar Salad, Skewer Flight, Fry Flight, HH Tasting Wine Flight, HH Mimosa Flight, Caesar Salad, Skewer Flight, Fry Flight",10.0,194.36,24.0
2677,2024-02-16 21:31:00,"Mule Flight, Martini Flight, Mimosa Flight, Old Fashioned Flight",4.0,105.0,10.0
2678,2024-01-18 19:44:00,"Elysian Space Dust, Cordant Pinot Glass, Drakes, Drakes",4.0,48.129999999999995,6.05
2687,2023-11-12 11:21:00,"Iced Tea, Lemonade, Empanada Flight, Mac & Cheese Flight",4.0,50.239999999999995,10.05
2693,2023-11-18 17:41:00,"Diet Coke, Sprite, Chicken Wing Flight, Skewer Flight, Mac & Cheese Flight, Fry Flight, Empanada Flight, Flights Burger, Chicken Wing Flight, Slider Flight",10.0,183.35999999999999,0.0
2693,2023-11-19 13:36:00,"White Wine Flight, Flights Burger, Flights Burger",3.0,63.33,9.85
2695,2023-12-04 20:28:00,"Paloma, Voodoo Ranger, Meatballs, Fettuccine Alfredo, Flights Burger, Slider Flight, Meatballs, Fettuccine Alfredo, Flights Burger, Slider Flight",10.0,21.869999999999997,22.72
2701,2023-12-09 14:46:00,"Baby Back Ribs Flight, Mojito Flight, Fry Flight, Baby Back Ribs Flight, Mojito Flight, Fry Flight, Baby Back Ribs Flight, Mojito Flight, Fry Flight",7.5,178.56,10.5
2711,2024-01-25 19:31:00,"HH Gin Flight, Taco Flight",2.0,36.04,6.49
2716,2024-02-02 19:54:00,"Flights Burger, Flights Burger",2.0,37.08,3.71
2728,2023-12-03 12:38:00,"Frozen Margarita Flight, Mule Flight, Mac & Cheese Flight, Empanada Flight, Beignet Flight, Coffee Regular, Lemonade",7.0,125.67,6.97
2728,2024-02-15 20:08:00,"Voodoo Ranger, Red Wine Flight, BBQ Pulled Pork Sandwich, Flights Burger, 805, Beignet Flight",6.0,93.91,2.61
2729,2024-01-27 12:46:00,"Toast Flight, Cast Iron Hash Flight, Arnold Palmer, Side Bacon",4.0,45.83,11.0
2730,2023-11-25 17:04:00,Maverick,1.0,15.32,6.0
2731,2023-11-18 15:42:00,"Maverick, Ginger Beer, Fry Flight, Mile High",4.0,53.56,6.0
2731,2023-11-22 20:44:00,"Patron Reposado Dbl, Patron Reposado Dbl",2.0,61.24,11.0
2734,2024-01-15 18:47:00,"Martini Flight, Apple Juice Kids, MODELO, Baby Back Ribs Flight, Taco Flight",5.0,78.63,15.0
2735,2023-11-21 17:08:00,"HH Margarita Rock Flight, Fry Flight",2.0,34.95,3.84
2735,2023-12-05 17:53:00,"HH Gin Flight, HH Margarita Rock Flight, HH Mule Flight, Fry Flight, Chicken Wing Flight, Empanada Flight, HH Mojito Flight, HH Old Fashioned Flight, HH Frozen Margarita Flight, HH Gin Flight, HH Margarita Rock Flight, HH Mule Flight, Fry Flight, Chicken Wing Flight, Empanada Flight, HH Mojito Flight, HH Old Fashioned Flight, HH Frozen Margarita Flight",18.0,325.7,15.0
2735,2023-12-05 18:06:00,"Taco Flight, Elysian Space Dust, Fry Flight",2.5,37.65,15.0
2735,2023-12-15 16:41:00,"HH Old Fashioned Flight, HH Old Fashioned Flight",2.0,32.82,1.5
2738,2024-01-27 11:14:00,Breakfast Burrito,1.0,7.63,12.97
2738,2024-01-29 18:15:00,"Margarita, Ahi Tuna Taco Flight, Mac & Cheese Flight, Taco Flight, Slider Flight, Baby Back Ribs Flight, Margarita",9.0,162.68,20.43
2744,2024-01-14 17:05:00,"Mule Flight, Mojito Flight, Empanada Flight, Taco Flight",4.0,92.87,10.27
2745,2023-11-22 16:42:00,HH Margarita Rock Flight,1.0,16.41,14.0
2746,2024-01-10 18:51:00,"Hummus, Flights Burger",2.0,35.989999999999995,10.34
2746,2024-02-02 18:39:00,"Mule Flight, Skewer Flight",2.0,50.25,8.0
2749,2024-01-12 20:55:00,"Frozen Margarita Flight, Fry Flight",3.0,71.03999999999999,9.0
2752,2024-02-14 20:56:00,"Mojito, Cabernet - Josh Hearth - Glass, Chicken Wing Flight, Fry Flight, Roasted Lemon Chicken, Brownie Bomber",6.0,110.25999999999999,14.15
2757,2024-02-24 18:39:00,"Mule Flight, cheese flight, Gin Flight, Tempranillo - The Fabliest - Glass",4.0,79.78999999999999,12.0
2764,2024-01-27 18:58:00,"Mojito Flight, Slider Flight, Side Fries, Taco Flight, Mule Flight, Mojito Flight, Slider Flight, Side Fries, Taco Flight, Mule Flight",10.0,201.04,32.38
2765,2023-12-20 18:32:00,"stella, Chicken Wing Flight, stella, Voodoo Ranger",4.0,49.18,28.18
2766,2023-11-30 19:35:00,"Roasted Lemon Chicken, Taco Flight",2.0,46.92,35.82
2769,2024-02-23 19:12:00,Fettuccine Alfredo,1.0,0.0,7.86
2795,2023-12-01 17:13:00,"HH Margarita Rock Flight, Hh Beer Flight, Caesar Salad, Fry Flight, Voodoo Ranger, Ghost Rider, Voodoo Ranger, HH Margarita Rock Flight, Hh Beer Flight, Caesar Salad, Fry Flight, Voodoo Ranger, Ghost Rider, Voodoo Ranger",14.0,187.92000000000002,22.0
2797,2024-02-03 17:25:00,"Sierra Hazy, Taco Flight, Mac & Cheese Flight, 12 Oz New York Steak, Caesar Salad, Sierra Hazy",6.0,113.55,25.34
2809,2023-12-03 13:47:00,"HH Bloody Mary Flight, Kids Lemonade, Macaroni & Cheese, Two Chicken Tacos, Cast Iron Hash Flight, Chardonnay - Patland - Glass, Smoked Show, Ahi Tuna Taco Flight, Empanada Flight, Empanada Flight",10.0,148.54,21.0
2810,2023-11-25 16:54:00,"Bluemoon, 805, Margarita, Wingman",4.0,47.03,10.0
2810,2024-02-14 17:54:00,"Pan Seared Salmon Fillet, Caesar Salad, Wedge Salad, Taco Flight, Bulleit Bourbon Dbl, Well Gin, Bulleit Bourbon Dbl, Well Gin",8.0,158.37,17.29
