,Menu Item,Modifiers,Price,Qty,Discount,Net,Tax,Total,Voided?,Reason,Refund Qty,Refund,Last 4 Card Digits,Order Date,Tip,Gratuity
1,Casamigos Blanco,Shot,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,1787.0,2024-01-19 18:36:00,$35.00,$0.00
2,Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,1787.0,2024-01-19 18:36:00,$35.00,$0.00
3,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,1787.0,2024-01-19 18:36:00,$35.00,$0.00
4,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,1787.0,2024-01-19 18:36:00,$35.00,$0.00
5,805,,$5.00,1.0,$0.00,$5.00,$0.460,$5.46,False,,0,$0.00,1787.0,2024-01-19 18:36:00,$35.00,$0.00
6,805,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,1787.0,2024-01-19 18:36:00,$35.00,$0.00
7,805,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,1787.0,2024-01-19 18:36:00,$35.00,$0.00
8,Casamigos Blanco,Shot,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,1787.0,2024-01-19 18:36:00,$35.00,$0.00
0,Ghost Rider,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,1003.0,2024-01-19 18:40:00,$17.26,$0.00
1,Red Wine Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,1003.0,2024-01-19 18:40:00,$17.26,$0.00
2,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,1003.0,2024-01-19 18:40:00,$17.26,$0.00
3,Mile High,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,1003.0,2024-01-19 18:40:00,$17.26,$0.00
0,Teqila Flight,"Salt,lime",$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3311.0,2024-01-19 18:41:00,$12.98,$0.00
1,Morena Mia,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,3311.0,2024-01-19 18:41:00,$12.98,$0.00
2,MODELO,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,3311.0,2024-01-19 18:41:00,$12.98,$0.00
3,Morena Mia,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,3311.0,2024-01-19 18:41:00,$12.98,$0.00
4,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,3311.0,2024-01-19 18:41:00,$12.98,$0.00
5,Old Fashioned Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3311.0,2024-01-19 18:41:00,$12.98,$0.00
0,Slider Flight,All Pork,$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,3388.0,2024-01-19 19:00:00,$22.94,$0.00
1,Skewer Flight,2 Steak 1 Chicken,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,3388.0,2024-01-19 19:00:00,$22.94,$0.00
0,Guinness,,$7.00,1.0,$0.00,$7.00,$0.660,$7.66,False,,0,$0.00,3073.0,2024-01-19 19:01:00,$3.84,$0.00
1,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,3073.0,2024-01-19 19:01:00,$3.84,$0.00
2,Lemonade,,$4.00,1.0,$0.00,$4.00,$0.380,$4.38,False,,0,$0.00,3073.0,2024-01-19 19:01:00,$3.84,$0.00
3,Cabernet - Chateau Michelle - Glass,,$13.00,1.0,$0.00,$13.00,$1.210,$14.21,False,,0,$0.00,3073.0,2024-01-19 19:01:00,$3.84,$0.00
4,Fettuccine Alfredo,Chicken,$26.95,1.0,$0.00,$26.95,$2.540,$29.49,False,,0,$0.00,3073.0,2024-01-19 19:01:00,$3.84,$0.00
5,Wedge Salad,No Onions,$12.95,1.0,$0.00,$12.95,$1.210,$14.16,False,,0,$0.00,3073.0,2024-01-19 19:01:00,$3.84,$0.00
6,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,3073.0,2024-01-19 19:01:00,$3.84,$0.00
7,Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,3073.0,2024-01-19 19:01:00,$3.84,$0.00
8,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,3073.0,2024-01-19 19:01:00,$3.84,$0.00
9,Wedge Salad,,$12.95,1.0,$0.00,$12.95,$1.210,$14.16,False,,0,$0.00,3073.0,2024-01-19 19:01:00,$3.84,$0.00
0,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3605.0,2024-01-19 19:04:00,$20.00,$0.00
1,Gin Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3605.0,2024-01-19 19:04:00,$20.00,$0.00
2,cheese flight,,$14.95,1.0,$0.00,$14.95,$1.410,$16.36,False,,0,$0.00,3605.0,2024-01-19 19:04:00,$20.00,$0.00
3,Hummus,,$15.95,1.0,$0.00,$15.95,$1.500,$17.45,False,,0,$0.00,3605.0,2024-01-19 19:04:00,$20.00,$0.00
0,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,8805.0,2024-01-19 19:13:00,$13.56,$0.00
1,Margarita Rock Flight,Salt Sugar Tajin,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,8805.0,2024-01-19 19:13:00,$13.56,$0.00
2,Bloody Mary Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,8805.0,2024-01-19 19:13:00,$13.56,$0.00
3,Bloody Mary,"Well Vodka, Spicy",$12.00,2.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,8805.0,2024-01-19 19:13:00,$13.56,$0.00
4,Fettuccine Alfredo,Split In Two Bowls,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,8805.0,2024-01-19 19:13:00,$13.56,$0.00
0,Margarita Rock Flight,"Reg Mango, Tajin",$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,6192.0,2024-01-19 19:33:00,$13.00,$0.00
1,Slider Flight,,$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,6192.0,2024-01-19 19:33:00,$13.00,$0.00
2,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,6192.0,2024-01-19 19:33:00,$13.00,$0.00
3,Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,6192.0,2024-01-19 19:33:00,$13.00,$0.00
4,Margarita Rock Flight,Tajin Reg Mango,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,6192.0,2024-01-19 19:33:00,$13.00,$0.00
0,Wedge Salad,,$12.95,1.0,$0.00,$12.95,$1.210,$14.16,False,,0,$0.00,1267.0,2024-01-19 19:39:00,$13.32,$0.00
1,Soda Water,,$1.50,1.0,$0.00,$1.50,$0.140,$1.64,False,,0,$0.00,1267.0,2024-01-19 19:39:00,$13.32,$0.00
2,Soda Water,,$1.50,1.0,$0.00,$1.50,$0.140,$1.64,False,,0,$0.00,1267.0,2024-01-19 19:39:00,$13.32,$0.00
0,Frozen Margarita Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,4806.0,2024-02-02 20:29:00,$26.94,$0.00
1,Margarita Rock Flight,Suger,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,4806.0,2024-02-02 20:29:00,$26.94,$0.00
2,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,4806.0,2024-02-02 20:29:00,$26.94,$0.00
3,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,4806.0,2024-02-02 20:29:00,$26.94,$0.00
4,Ahi Tuna Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,4806.0,2024-02-02 20:29:00,$26.94,$0.00
5,Martini Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,4806.0,2024-02-02 20:29:00,$26.94,$0.00
6,Beignet Flight,,$10.95,1.0,$0.00,$10.95,$1.040,$11.99,False,,0,$0.00,4806.0,2024-02-02 20:29:00,$26.94,$0.00
0,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,5744.0,2024-02-02 20:33:00,$36.04,$0.00
1,Gin Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5744.0,2024-02-02 20:33:00,$36.04,$0.00
2,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5744.0,2024-02-02 20:33:00,$36.04,$0.00
3,Margarita Rock Flight,Tajin,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5744.0,2024-02-02 20:33:00,$36.04,$0.00
4,Slider Flight,,$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,5744.0,2024-02-02 20:33:00,$36.04,$0.00
5,Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,5744.0,2024-02-02 20:33:00,$36.04,$0.00
6,Ahi Tuna Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,5744.0,2024-02-02 20:33:00,$36.04,$0.00
7,Flights Burger,"Sub Impossible Burger, NO Smoked Bacon",$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,5744.0,2024-02-02 20:33:00,$36.04,$0.00
0,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,3126.0,2024-02-02 20:47:00,$5.41,$0.00
1,Gin Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3126.0,2024-02-02 20:47:00,$5.41,$0.00
2,Hendricks,Tonic,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,3126.0,2024-02-02 20:47:00,$5.41,$0.00
0,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,1008.0,2024-02-02 21:02:00,$36.77,$0.00
1,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,1008.0,2024-02-02 21:02:00,$36.77,$0.00
0,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5789.0,2024-02-02 21:06:00,$2.00,$0.00
1,Mule Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,True,Server Error,0,$0.00,5789.0,2024-02-02 21:06:00,$2.00,$0.00
2,12 Oz New York Steak,Medium,$38.95,1.0,$0.00,$38.95,$3.660,$42.61,False,,0,$0.00,5789.0,2024-02-02 21:06:00,$2.00,$0.00
3,Roasted Lemon Chicken,,$24.95,1.0,$0.00,$24.95,$2.340,$27.29,False,,0,$0.00,5789.0,2024-02-02 21:06:00,$2.00,$0.00
4,Komos Rosa,,$26.00,1.0,$0.00,$26.00,$2.430,$28.43,False,,0,$0.00,5789.0,2024-02-02 21:06:00,$2.00,$0.00
5,Komos Rosa,,$26.00,1.0,$0.00,$26.00,$2.430,$28.43,False,,0,$0.00,5789.0,2024-02-02 21:06:00,$2.00,$0.00
0,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,5789.0,2024-02-02 21:06:00,$8.00,$0.00
1,Chardonnay - Patland - Glass,,$13.00,1.0,$0.00,$13.00,$1.210,$14.21,True,Server Error,0,$0.00,5789.0,2024-02-02 21:06:00,$8.00,$0.00
2,Caesar Salad,"Chicken, On The Side",$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,5789.0,2024-02-02 21:06:00,$8.00,$0.00
3,12 Oz New York Steak,Medium Rare,$38.95,1.0,$0.00,$38.95,$3.660,$42.61,False,,0,$0.00,5789.0,2024-02-02 21:06:00,$8.00,$0.00
4,Pan Seared Salmon Fillet,,$27.95,1.0,$0.00,$27.95,$2.620,$30.57,False,,0,$0.00,5789.0,2024-02-02 21:06:00,$8.00,$0.00
5,Tosted Bread 4 Cut In Half,,$4.00,1.0,$0.00,$4.00,$0.380,$4.38,False,,0,$0.00,5789.0,2024-02-02 21:06:00,$8.00,$0.00
6,Chardonnay - Patland - Bottle,Dnt Get,$45.00,1.0,$0.00,$45.00,$4.210,$49.21,False,,0,$0.00,5789.0,2024-02-02 21:06:00,$8.00,$0.00
0,Frozen Margarita Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5465.0,2024-02-02 21:44:00,$15.34,$0.00
1,Kamikaze,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,5465.0,2024-02-02 21:44:00,$15.34,$0.00
0,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,6488.0,2024-02-03 10:54:00,$10.00,$27.95
1,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,6488.0,2024-02-03 10:54:00,$10.00,$27.95
0,Martini Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,8424.0,2024-02-03 11:23:00,$7.44,$0.00
1,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,8424.0,2024-02-03 11:23:00,$7.44,$0.00
2,Jameson,Sprite,$12.00,1.0,$0.00,$12.00,$1.120,$13.12,False,,0,$0.00,8424.0,2024-02-03 11:23:00,$7.44,$0.00
0,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,444.0,2024-02-03 11:02:00,$0.00,$23.61
1,Ahi Tuna Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,444.0,2024-02-03 11:02:00,$0.00,$23.61
2,Mimosa Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,444.0,2024-02-03 11:02:00,$0.00,$23.61
3,Wingman,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,444.0,2024-02-03 11:02:00,$0.00,$23.61
0,2 Irish Coffee,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,8159.0,2024-02-03 11:56:00,$5.00,$0.00
1,Margarita Rock Flight,Tajin,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,8159.0,2024-02-03 11:56:00,$5.00,$0.00
2,Martini Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,8159.0,2024-02-03 11:56:00,$5.00,$0.00
3,Cast Iron Hash Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,True,Customer Changed Mind,0,$0.00,8159.0,2024-02-03 11:56:00,$5.00,$0.00
4,Classic Breakfast,Over Medium,$13.95,2.0,$0.00,$27.90,$2.610,$30.51,False,,0,$0.00,8159.0,2024-02-03 11:56:00,$5.00,$0.00
5,Classic Breakfast,Scrambled,$13.95,1.0,$0.00,$13.95,$1.300,$15.25,False,,0,$0.00,8159.0,2024-02-03 11:56:00,$5.00,$0.00
6,Classic Breakfast,"Over Easy, Bacon On Side",$13.95,1.0,$0.00,$13.95,$1.300,$15.25,False,,0,$0.00,8159.0,2024-02-03 11:56:00,$5.00,$0.00
7,Birthday CHEESECAKE,,$0.00,1.0,$0.00,$0.00,$0.000,$0.00,False,,0,$0.00,8159.0,2024-02-03 11:56:00,$5.00,$0.00
0,HH Mimosa Flight,,$15.00,2.0,$0.00,$30.00,$2.820,$32.82,False,,0,$0.00,2360.0,2024-02-03 12:01:00,$7.86,$0.00
1,Coffee Regular,,$4.00,1.0,$0.00,$4.00,$0.380,$4.38,False,,0,$0.00,2360.0,2024-02-03 12:01:00,$7.86,$0.00
0,MODELO,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,995.0,2024-02-03 12:19:00,$6.97,$0.00
1,Margarita Rock Flight,Salt Rim,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,995.0,2024-02-03 12:19:00,$6.97,$0.00
2,Martini Flight,,$24.00,2.0,$0.00,$48.00,$4.500,$52.50,False,,0,$0.00,995.0,2024-02-03 12:19:00,$6.97,$0.00
3,Empanada Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,995.0,2024-02-03 12:19:00,$6.97,$0.00
4,Margarita Rock Flight,Salt Rim,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,995.0,2024-02-03 12:19:00,$6.97,$0.00
5,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,995.0,2024-02-03 12:19:00,$6.97,$0.00
6,Ahi Tuna Taco Flight,,$17.95,2.0,$0.00,$35.90,$3.360,$39.26,False,,0,$0.00,995.0,2024-02-03 12:19:00,$6.97,$0.00
7,Flights 3 Egg Omelet,,$13.95,1.0,$0.00,$13.95,$1.300,$15.25,False,,0,$0.00,995.0,2024-02-03 12:19:00,$6.97,$0.00
8,Flights Burger,"Medium, Truffle Fries",$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,995.0,2024-02-03 12:19:00,$6.97,$0.00
9,Iced Tea,,$4.00,1.0,$0.00,$4.00,$0.380,$4.38,False,,0,$0.00,995.0,2024-02-03 12:19:00,$6.97,$0.00
10,Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,995.0,2024-02-03 12:19:00,$6.97,$0.00
0,Breakfast Burrito,,$13.95,1.0,$13.95,$0.00,$0.000,$0.00,False,,0,$0.00,166.0,2024-02-03 12:38:00,$13.54,$0.00
0,Side Bacon,,$6.00,1.0,$3.00,$3.00,$0.290,$3.29,False,,0,$0.00,7290.0,2024-02-03 13:06:00,$18.00,$0.00
1,Side Bacon,,$6.00,1.0,$3.00,$3.00,$0.290,$3.29,False,,0,$0.00,7290.0,2024-02-03 13:06:00,$18.00,$0.00
2,Flights Burger,"Medium, NO Tomato, Truffle Fries",$16.95,1.0,$8.48,$8.47,$0.790,$9.26,False,,0,$0.00,7290.0,2024-02-03 13:06:00,$18.00,$0.00
3,Breakfast Burrito,,$13.95,1.0,$6.97,$6.98,$0.660,$7.64,False,,0,$0.00,7290.0,2024-02-03 13:06:00,$18.00,$0.00
4,Breakfast Burrito,,$13.95,1.0,$6.98,$6.97,$0.660,$7.63,False,,0,$0.00,7290.0,2024-02-03 13:06:00,$18.00,$0.00
5,Fry Flight,"Truffle, Truffle, Garlic",$16.95,1.0,$8.47,$8.48,$0.790,$9.27,False,,0,$0.00,7290.0,2024-02-03 13:06:00,$18.00,$0.00
6,Side Fries,Truffle,$6.00,1.0,$3.00,$3.00,$0.290,$3.29,False,,0,$0.00,7290.0,2024-02-03 13:06:00,$18.00,$0.00
7,Ahi Tuna Taco Flight,,$17.95,1.0,$8.98,$8.97,$0.840,$9.81,False,,0,$0.00,7290.0,2024-02-03 13:06:00,$18.00,$0.00
8,HH Mimosa Flight,,$15.00,1.0,$7.50,$7.50,$0.710,$8.21,False,,0,$0.00,7290.0,2024-02-03 13:06:00,$18.00,$0.00
0,805,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,8404.0,2024-02-17 20:07:00,$21.83,$0.00
1,Lemonade,Strawberry,$4.00,2.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,8404.0,2024-02-17 20:07:00,$21.83,$0.00
2,Flights Burger,"Medium, NO Smoked Bacon, NO Tomato, NO Red Onion, Regular Fries instead of garlic, Sauce On The Side",$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,8404.0,2024-02-17 20:07:00,$21.83,$0.00
3,BBQ Pulled Pork Sandwich,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,8404.0,2024-02-17 20:07:00,$21.83,$0.00
4,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,8404.0,2024-02-17 20:07:00,$21.83,$0.00
5,Lemonade,Strawberry,$4.00,2.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,8404.0,2024-02-17 20:07:00,$21.83,$0.00
6,Baby Back Ribs Flight,"Extra Sauces On The Side, TOGO",$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,8404.0,2024-02-17 20:07:00,$21.83,$0.00
0,Mac & Cheese Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,5060.0,2024-02-17 20:29:00,$20.75,$0.00
1,Empanada Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,5060.0,2024-02-17 20:29:00,$20.75,$0.00
2,Baby Back Ribs Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,5060.0,2024-02-17 20:29:00,$20.75,$0.00
3,Well Mezcal,Soda Water,$11.00,1.0,$0.00,$11.00,$1.040,$12.04,False,,0,$0.00,5060.0,2024-02-17 20:29:00,$20.75,$0.00
4,Martini Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5060.0,2024-02-17 20:29:00,$20.75,$0.00
0,Wedge Salad,,$12.95,1.0,$0.00,$12.95,$1.210,$14.16,False,,0,$0.00,4943.0,2024-02-17 20:51:00,$16.00,$0.00
0,Old Fashioned Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3472.0,2024-02-17 20:55:00,$0.00,$16.02
1,Old Fashioned Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3472.0,2024-02-17 20:55:00,$0.00,$16.02
2,Mimosa Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3472.0,2024-02-17 20:55:00,$0.00,$16.02
3,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3472.0,2024-02-17 20:55:00,$0.00,$16.02
0,Chicken Wing Flight,"NO Celery, Buffalo, Habanero, Habanero",$22.95,1.0,$22.95,$0.00,$0.000,$0.00,False,,0,$0.00,3063.0,2024-02-17 21:17:00,$3.91,$0.00
0,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
1,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
2,Sierra Hazy,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
3,Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
4,Empanada Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
5,Sierra Hazy,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
6,Well Tequila,Lime Wedge,$11.00,1.0,$0.00,$11.00,$1.040,$12.04,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
7,Fettuccine Alfredo,Chicken,$26.95,1.0,$0.00,$26.95,$2.540,$29.49,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
8,Flights Burger,"Medium Rare, NO Tomato",$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
9,Empanada Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
10,Fettuccine Alfredo,Chicken,$26.95,1.0,$0.00,$26.95,$2.540,$29.49,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
11,Brownie Bomber,,$10.95,1.0,$0.00,$10.95,$1.040,$11.99,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
12,Well Tequila,Lime Wedge,$11.00,1.0,$0.00,$11.00,$1.040,$12.04,False,,0,$0.00,6482.0,2024-02-17 21:26:00,$20.00,$42.86
0,Komos Anejo Reserva,Shot,$30.00,1.0,$0.00,$30.00,$2.820,$32.82,False,,0,$0.00,1007.0,2024-02-18 10:44:00,$40.00,$0.00
1,Komos Anejo Reserva,Shot,$30.00,1.0,$0.00,$30.00,$2.820,$32.82,False,,0,$0.00,1007.0,2024-02-18 10:44:00,$40.00,$0.00
2,Lemon Drop,Grey Goose,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,1007.0,2024-02-18 10:44:00,$40.00,$0.00
3,Hennessy VS,Cranberry,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,1007.0,2024-02-18 10:44:00,$40.00,$0.00
0,HH Bloody Mary Flight,,$15.00,1.0,$0.00,$15.00,$1.410,$16.41,False,,0,$0.00,5132.0,2024-02-18 11:13:00,$12.01,$0.00
1,Martini Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5132.0,2024-02-18 11:13:00,$12.01,$0.00
2,Old Fashioned Flight,,$24.00,2.0,$0.00,$48.00,$4.500,$52.50,False,,0,$0.00,5132.0,2024-02-18 11:13:00,$12.01,$0.00
3,Chicken n Waffles,Add strawberrt,$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,5132.0,2024-02-18 11:13:00,$12.01,$0.00
4,6 Oz N.Y. Steak & Eggs,"Medium, Sunny-Side Up",$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,5132.0,2024-02-18 11:13:00,$12.01,$0.00
5,Bird Dog,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,5132.0,2024-02-18 11:13:00,$12.01,$0.00
6,Hennessy VS,,$14.00,4.0,$0.00,$56.00,$5.250,$61.25,False,,0,$0.00,5132.0,2024-02-18 11:13:00,$12.01,$0.00
0,Bird Dog,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,5167.0,2024-02-18 11:21:00,$7.65,$0.00
1,HH Mimosa Flight,,$15.00,1.0,$0.00,$15.00,$1.410,$16.41,False,,0,$0.00,5167.0,2024-02-18 11:21:00,$7.65,$0.00
2,Margarita Rock Flight,Tajin,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5167.0,2024-02-18 11:21:00,$7.65,$0.00
3,Coffee Regular,,$4.00,1.0,$0.00,$4.00,$0.380,$4.38,False,,0,$0.00,5167.0,2024-02-18 11:21:00,$7.65,$0.00
4,Ghost Rider,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,5167.0,2024-02-18 11:21:00,$7.65,$0.00
5,Ahi Tuna Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,5167.0,2024-02-18 11:21:00,$7.65,$0.00
